============================================================
  RUNG 5: GPT-2 WITH GENOME-CONTROLLED CONNECTIVITY
  354 parameters grow GPT-2.
============================================================
  Config: full
  Device: cuda
  Dtype: bfloat16
  Layers: 12, Hidden: 768, FF: 3072
  Block size: 1024, Batch: 12
  Grad accum: 40
  Tokens/iter: 491,520
  Max iters: 100,000
  Dataset: openwebtext

============================================================
  Training: genome
============================================================
  Genome params: 354
  Total params: 124,430,946
  Compiling model with torch.compile...
  Resuming from iter 30300...
  iter  43100 | train 3.0675 | val 3.0792 | lr 3.98e-04 | 122526 tok/s | hard=71.6% soft=74.9% temp=8.8 sp=22.7564
  iter  43200 | train 3.0699 | val 3.0849 | lr 3.97e-04 | 122526 tok/s | hard=71.6% soft=74.8% temp=8.8 sp=22.7635
  iter  43300 | train 3.0770 | val 3.0602 | lr 3.96e-04 | 122529 tok/s | hard=71.6% soft=74.9% temp=8.8 sp=22.7560
  iter  43400 | train 3.0719 | val 3.0691 | lr 3.95e-04 | 122526 tok/s | hard=71.6% soft=74.9% temp=8.8 sp=22.7618
  iter  43500 | train 3.0672 | val 3.0811 | lr 3.94e-04 | 122528 tok/s | hard=71.6% soft=75.0% temp=8.8 sp=22.7452
  iter  43600 | train 3.0665 | val 3.0871 | lr 3.93e-04 | 122529 tok/s | hard=71.6% soft=75.0% temp=8.8 sp=22.7593
  iter  43700 | train 3.0665 | val 3.0764 | lr 3.93e-04 | 122531 tok/s | hard=71.6% soft=75.0% temp=8.9 sp=22.7558
  iter  43800 | train 3.0493 | val 3.0662 | lr 3.92e-04 | 122533 tok/s | hard=71.6% soft=75.0% temp=8.9 sp=22.7738
  iter  43900 | train 3.0608 | val 3.0542 | lr 3.91e-04 | 122536 tok/s | hard=71.6% soft=75.0% temp=8.9 sp=22.7652
  iter  44000 | train 3.0696 | val 3.0739 | lr 3.90e-04 | 122530 tok/s | hard=71.6% soft=75.0% temp=8.9 sp=22.7608
  iter  44100 | train 3.0587 | val 3.0669 | lr 3.89e-04 | 122528 tok/s | hard=71.6% soft=75.0% temp=8.9 sp=22.7508
  iter  44200 | train 3.0549 | val 3.0657 | lr 3.88e-04 | 122528 tok/s | hard=71.6% soft=75.1% temp=9.0 sp=22.7542
  iter  44300 | train 3.0513 | val 3.0551 | lr 3.88e-04 | 122529 tok/s | hard=71.6% soft=75.2% temp=9.0 sp=22.7457
  iter  44400 | train 3.0702 | val 3.0872 | lr 3.87e-04 | 122528 tok/s | hard=71.6% soft=75.1% temp=9.0 sp=22.7404
  iter  44500 | train 3.0540 | val 3.0691 | lr 3.86e-04 | 122527 tok/s | hard=71.6% soft=75.2% temp=9.0 sp=22.7442
  iter  44600 | train 3.0640 | val 3.0619 | lr 3.85e-04 | 122526 tok/s | hard=71.6% soft=75.1% temp=9.0 sp=22.7400
  iter  44700 | train 3.0449 | val 3.0766 | lr 3.84e-04 | 122525 tok/s | hard=71.6% soft=75.1% temp=9.0 sp=22.7244
  iter  44800 | train 3.0558 | val 3.0739 | lr 3.83e-04 | 122525 tok/s | hard=71.6% soft=75.1% temp=9.1 sp=22.7343
  iter  44900 | train 3.0627 | val 3.0868 | lr 3.82e-04 | 122526 tok/s | hard=71.6% soft=75.2% temp=9.1 sp=22.7213
  iter  45000 | train 3.0519 | val 3.0666 | lr 3.82e-04 | 122523 tok/s | hard=71.7% soft=75.2% temp=9.1 sp=22.7201
  iter  45100 | train 3.0603 | val 3.0633 | lr 3.81e-04 | 122522 tok/s | hard=71.6% soft=75.2% temp=9.1 sp=22.7168
  iter  45200 | train 3.0477 | val 3.0731 | lr 3.80e-04 | 122524 tok/s | hard=71.7% soft=75.3% temp=9.1 sp=22.7109
  iter  45300 | train 3.0551 | val 3.0628 | lr 3.79e-04 | 122523 tok/s | hard=71.6% soft=75.2% temp=9.2 sp=22.7075
  iter  45400 | train 3.0551 | val 3.0712 | lr 3.78e-04 | 122523 tok/s | hard=71.7% soft=75.3% temp=9.2 sp=22.7133
  iter  45500 | train 3.0519 | val 3.0647 | lr 3.77e-04 | 122524 tok/s | hard=71.6% soft=75.3% temp=9.2 sp=22.7068
  iter  45600 | train 3.0634 | val 3.0678 | lr 3.77e-04 | 122524 tok/s | hard=71.7% soft=75.3% temp=9.2 sp=22.6977
  iter  45700 | train 3.0479 | val 3.0666 | lr 3.76e-04 | 122525 tok/s | hard=71.7% soft=75.4% temp=9.2 sp=22.7022
  iter  45800 | train 3.0537 | val 3.0753 | lr 3.75e-04 | 122526 tok/s | hard=71.7% soft=75.4% temp=9.2 sp=22.7097
  iter  45900 | train 3.0635 | val 3.0792 | lr 3.74e-04 | 122527 tok/s | hard=71.6% soft=75.3% temp=9.3 sp=22.6932
  iter  46000 | train 3.0623 | val 3.0587 | lr 3.73e-04 | 122529 tok/s | hard=71.7% soft=75.4% temp=9.3 sp=22.6969
  iter  46100 | train 3.0496 | val 3.0681 | lr 3.72e-04 | 122528 tok/s | hard=71.7% soft=75.5% temp=9.3 sp=22.6987
  iter  46200 | train 3.0671 | val 3.0537 | lr 3.71e-04 | 122530 tok/s | hard=71.7% soft=75.4% temp=9.3 sp=22.6917
  iter  46300 | train 3.0558 | val 3.0553 | lr 3.71e-04 | 122526 tok/s | hard=71.7% soft=75.5% temp=9.3 sp=22.6703
  iter  46400 | train 3.0455 | val 3.0704 | lr 3.70e-04 | 122527 tok/s | hard=71.6% soft=75.4% temp=9.4 sp=22.6738
  iter  46500 | train 3.0584 | val 3.0708 | lr 3.69e-04 | 122530 tok/s | hard=71.7% soft=75.5% temp=9.4 sp=22.6888
  iter  46600 | train 3.0428 | val 3.0652 | lr 3.68e-04 | 122530 tok/s | hard=71.6% soft=75.5% temp=9.4 sp=22.6719
  iter  46700 | train 3.0548 | val 3.0697 | lr 3.67e-04 | 122531 tok/s | hard=71.7% soft=75.6% temp=9.4 sp=22.6645
  iter  46800 | train 3.0693 | val 3.0624 | lr 3.66e-04 | 122533 tok/s | hard=71.7% soft=75.5% temp=9.4 sp=22.6732
  iter  46900 | train 3.0539 | val 3.0756 | lr 3.65e-04 | 122534 tok/s | hard=71.6% soft=75.5% temp=9.4 sp=22.6700
  iter  47000 | train 3.0543 | val 3.0687 | lr 3.65e-04 | 122534 tok/s | hard=71.6% soft=75.6% temp=9.5 sp=22.6648
  iter  47100 | train 3.0560 | val 3.0662 | lr 3.64e-04 | 122534 tok/s | hard=71.7% soft=75.6% temp=9.5 sp=22.6551
  iter  47200 | train 3.0648 | val 3.0563 | lr 3.63e-04 | 122537 tok/s | hard=71.6% soft=75.5% temp=9.5 sp=22.6417
  iter  47300 | train 3.0531 | val 3.0553 | lr 3.62e-04 | 122540 tok/s | hard=71.7% soft=75.6% temp=9.5 sp=22.6585
  iter  47400 | train 3.0421 | val 3.0474 | lr 3.61e-04 | 122541 tok/s | hard=71.7% soft=75.6% temp=9.5 sp=22.6520
  iter  47500 | train 3.0661 | val 3.0775 | lr 3.60e-04 | 122538 tok/s | hard=71.6% soft=75.6% temp=9.6 sp=22.6448
  iter  47600 | train 3.0429 | val 3.0768 | lr 3.59e-04 | 122541 tok/s | hard=71.7% soft=75.7% temp=9.6 sp=22.6570
  iter  47700 | train 3.0532 | val 3.0450 | lr 3.59e-04 | 122544 tok/s | hard=71.7% soft=75.7% temp=9.6 sp=22.6486
  iter  47800 | train 3.0530 | val 3.0616 | lr 3.58e-04 | 122541 tok/s | hard=71.7% soft=75.6% temp=9.6 sp=22.6405
  iter  47900 | train 3.0485 | val 3.0583 | lr 3.57e-04 | 122544 tok/s | hard=71.7% soft=75.7% temp=9.6 sp=22.6535
  iter  48000 | train 3.0573 | val 3.0534 | lr 3.56e-04 | 122547 tok/s | hard=71.6% soft=75.6% temp=9.6 sp=22.6477
